A		149		724
B		38		98
C		41		44
D		431		438
E		391		400
F		125		358
G		194		841
H		53		171
I		282		871
J		49		125
K		245		626
L		27		121
M		628		648
N		139		831
O		350		417
P		7		48
Q		360		806
R		94		496
S		29		606
T		3		206
U		47		336
V		1		15
W		381		611
X		669		685
Y		3		429
Z		251		651
BA		222		903
BB		293		416
BC		23		104
BD		17		179
BE		411		882
BF		93		370
BG		492		778
BH		298		361
BI		103		364
BJ		438		804
BK		556		675
BL		200		708
BM		24		690
BN		325		581
BO		37		193
BP		258		708
BQ		682		705
BR		880		918
BS		161		620
BT		152		974
BU		62		106
BV		75		101
BW		219		811
BX		53		983
BY		520		928
BZ		172		997
CA		441		721
CB		84		375
CC		138		154
CD		409		426
CE		664		915
CF		275		981
CG		410		714
CH		430		707
CI		244		432
CJ		24		29
CK		316		377
CL		271		951
CM		422		637
CN		74		222
CO		268		280
CP		564		908
CQ		439		937
CR		181		629
CS		4		118
CT		184		443
CU		221		494
CV		509		570
CW		33		217
CX		14		956
CY		46		304
CZ		558		959
DA		5		33
DB		277		302
DC		59		286
DD		750		766
DE		381		794
DF		40		46
DG		237		243
DH		232		571
DI		96		319
DJ		54		102
DK		266		836
DL		299		373
DM		117		242
DN		22		83
DO		630		951
DP		90		118
DQ		32		169
DR		9		924
DS		30		73
DT		41		626
DU		272		501
DV		43		593
DW		180		566
DX		698		854
DY		104		946
DZ		81		966
EA		339		970
EB		143		702
EC		419		952
ED		149		166
EE		174		709
EF		306		786
EG		501		587
EH		855		946
EI		587		827
EJ		45		887
EK		151		607
EL		45		934
EM		627		634
EN		658		996
EO		394		718
EP		471		786
EQ		108		400
ER		72		167
ES		32		287
ET		258		591
EU		58		462
EV		340		611
EW		1		4
EX		29		78
EY		372		381
EZ		143		715
FA		101		258
FB		341		438
FC		8		28
FD		287		945
FE		77		212
FF		533		844
FG		670		722
FH		169		801
FI		579		853
FJ		565		969
FK		787		812
FL		198		293
FM		173		504
FN		57		75
FO		257		309
FP		431		602
FQ		111		558
FR		226		493
FS		253		477
FT		384		889
FU		286		444
FV		455		552
FW		226		482
FX		301		430
FY		4		69
FZ		67		286
GA		495		501
GB		220		525
GC		230		241
GD		443		463
GE		601		906
GF		562		867
GG		716		834
GH		293		785
GI		13		408
GJ		284		324
GK		189		697
GL		210		292
GM		66		286
GN		77		307
GO		141		552
GP		68		312
GQ		70		90
GR		78		183
GS		259		396
GT		28		505
GU		185		429
GV		218		413
GW		119		156
GX		430		834
GY		608		740
GZ		80		365
HA		63		600
HB		155		512
HC		67		159
HD		906		982
HE		422		762
HF		204		260
HG		819		872
HH		599		761
HI		16		379
HJ		320		422
HK		112		576
HL		560		721
HM		52		98
HN		737		773
HO		132		938
HP		29		308
HQ		427		458
HR		23		74
HS		85		161
HT		337		431
HU		302		895
HV		587		693
HW		21		53
HX		14		63
HY		148		285
HZ		519		862
IA		93		229
IB		88		104
IC		549		761
ID		361		382
IE		197		306
IF		134		446
IG		143		830
IH		245		842
II		112		238
IJ		385		430
IK		16		22
IL		661		678
IM		91		173
IN		9		138
IO		516		595
IP		524		621
IQ		406		433
IR		26		210
IS		14		35
IT		297		369
IU		207		534
IV		84		134
IW		106		359
IX		212		535
IY		183		344
IZ		24		184
JA		38		480
JB		27		198
JC		1		775
JD		447		470
JE		75		133
JF		103		612
JG		566		633
JH		430		768
JI		44		116
JJ		468		904
JK		278		501
JL		43		96
JM		36		850
JN		767		815
JO		10		789
JP		127		200
JQ		451		517
JR		140		804
JS		127		333
JT		132		418
JU		225		269
JV		9		82
JW		20		162
JX		63		594
JY		46		275
JZ		45		400
KA		294		318
KB		33		995
KC		213		602
KD		451		636
KE		545		859
KF		70		413
KG		152		181
KH		39		528
KI		200		422
KJ		498		902
KK		191		372
KL		17		89
KM		505		974
KN		682		839
KO		706		874
KP		417		543
KQ		70		630
KR		160		245
KS		72		983
KT		4		834
KU		485		673
KV		44		565
KW		220		463
KX		32		35
KY		62		142
KZ		5		344
LA		294		518
LB		201		213
LC		35		628
LD		375		490
LE		216		629
LF		399		580
LG		83		160
LH		30		71
LI		100		261
LJ		439		978
LK		29		292
LL		71		828
LM		293		687
LN		23		33
LO		480		788
LP		599		853
LQ		194		438
LR		265		532
LS		305		527
LT		88		123
LU		10		133
LV		603		846
LW		44		508
LX		695		827
LY		8		684
LZ		253		460
MA		61		80
MB		555		681
MC		99		153
MD		672		931
ME		112		777
MF		492		667
MG		93		729
MH		43		839
MI		136		401
MJ		424		902
MK		354		615
ML		376		549
MM		151		201
MN		109		558
MO		128		809
MP		834		841
MQ		92		315
MR		3		36
MS		8		27
MT		645		743
MU		268		820
MV		472		840
MW		290		301
MX		5		112
MY		12		41
MZ		52		832
NA		427		966
NB		455		799
NC		674		987
ND		471		810
NE		16		77
NF		310		446
NG		1		51
NH		493		614
NI		117		486
NJ		159		248
NK		239		342
NL		162		180
NM		21		86
NN		15		235
NO		28		289
NP		160		255
NQ		803		995
NR		284		896
NS		99		388
NT		546		700
NU		104		650
NV		129		209
NW		205		226
NX		570		571
NY		71		104
NZ		338		396
OA		141		158
OB		210		438
OC		464		993
OD		558		964
OE		261		269
OF		37		610
OG		564		953
OH		408		855
OI		375		491
OJ		183		223
OK		402		483
OL		240		767
OM		6		20
ON		33		373
OO		35		501
OP		134		967
OQ		99		393
OR		349		746
OS		53		106
OT		48		153
OU		156		873
OV		175		425
OW		153		298
OX		112		195
OY		3		4
OZ		271		821
PA		527		655
PB		181		805
PC		84		471
PD		243		925
PE		14		226
PF		88		475
PG		100		658
PH		218		308
PI		46		145
PJ		97		219
PK		162		500
PL		21		571
PM		602		711
PN		205		966
PO		33		546
PP		115		192
PQ		101		951
PR		491		652
PS		176		334
PT		481		943
PU		144		908
PV		239		327
PW		62		470
PX		222		333
PY		101		166
PZ		464		861
QA		14		34
QB		373		767
QC		333		362
QD		33		35
QE		25		200
QF		157		357
QG		455		687
QH		6		122
QI		17		186
QJ		213		582
QK		58		638
QL		72		233
QM		667		927
QN		33		230
QO		50		516
QP		8		34
QQ		52		89
QR		53		324
QS		166		426
QT		559		617
QU		122		310
QV		733		971
QW		395		791
QX		349		613
QY		60		793
QZ		139		312
RA		577		618
RB		619		857
RC		36		629
RD		30		41
RE		22		37
RF		101		165
RG		362		485
RH		108		152
RI		191		855
RJ		8		54
RK		497		527
RL		778		885
RM		91		135
RN		172		450
RO		433		717
RP		32		45
RQ		49		50
RR		228		729
RS		194		854
RT		2		134
RU		418		521
RV		306		626
RW		769		990
RX		2		8
RY		184		385
RZ		657		852
SA		96		108
SB		641		967
SC		102		106
SD		107		480
SE		147		177
SF		257		507
SG		127		276
SH		371		402
SI		360		976
SJ		78		138
SK		399		414
SL		108		448
SM		179		303
SN		878		996
SO		646		813
SP		778		963
SQ		172		465
SR		48		156
SS		160		446
ST		268		915
SU		142		160
SV		267		869
SW		128		173
SX		566		857
SY		74		142
SZ		82		133
TA		67		768
TB		156		299
TC		267		287
TD		30		321
TE		336		506
TF		253		312
TG		216		960
TH		733		782
TI		55		321
TJ		350		429
TK		411		780
TL		165		620
TM		510		791
TN		60		162
TO		45		192
TP		47		87
TQ		25		448
TR		490		697
TS		420		460
TT		119		288
TU		72		170
TV		137		586
TW		508		956
TX		121		125
TY		38		656
TZ		172		503
UA		470		888
UB		327		694
UC		59		247
UD		337		379
UE		755		836
UF		29		549
UG		265		584
UH		15		482
UI		214		724
UJ		512		553
UK		19		868
UL		142		260
UM		88		112
UN		39		234
UO		480		712
UP		13		16
UQ		835		936
UR		825		845
US		412		866
UT		28		718
UU		63		72
UV		93		581
UW		35		277
UX		301		535
UY		190		356
UZ		61		626
VA		147		285
VB		82		885
VC		859		934
VD		460		983
VE		120		919
VF		29		95
VG		60		83
VH		156		274
VI		337		572
VJ		332		952
VK		277		860
VL		853		951
VM		272		550
VN		641		750
VO		131		237
VP		257		619
VQ		85		245
VR		445		616
VS		551		570
VT		239		394
VU		174		946
VV		143		204
VW		511		557
VX		147		504
VY		117		532
VZ		37		65
WA		39		49
WB		439		570
WC		353		556
WD		96		252
WE		107		345
WF		196		247
WG		156		479
WH		145		995
WI		513		859
WJ		79		189
WK		8		41
WL		440		496
WM		146		266
WN		365		509
WO		12		42
WP		148		165
WQ		332		542
WR		174		180
WS		3		30
WT		611		865
WU		24		485
WV		60		83
WW		255		638
WX		47		985
WY		195		628
WZ		574		615
XA		458		602
XB		336		400
XC		34		659
XD		82		84
XE		441		677
XF		629		641
XG		698		729
XH		96		296
XI		455		991
XJ		365		837
XK		102		275
XL		9		54
XM		92		564
XN		242		252
XO		102		243
XP		107		499
XQ		3		10
XR		211		471
